menu_index,timestamp_utc,replay_id,team_id,opponent_id,player_id
0,2025-11-23 15:49:16 UTC,02PPUGLR2Y2G,VPLJQL02P,20V2YCL8RC,VPLJQL02P
1,2025-11-23 15:44:43 UTC,02PPUGLGQGJ0,VPLJQL02P,Q89GG9QPC,VPLJQL02P
2,2025-11-23 15:40:17 UTC,02PPUGLG00RC,VPLJQL02P,V82J2GRYU,VPLJQL02P
3,2025-11-23 15:35:17 UTC,02PPUGLQYQJU,VPLJQL02P,VGU88LJY8,VPLJQL02P
4,2025-11-23 15:29:55 UTC,00LPUP00VVLU,VPLJQL02P,V2Y90JPQP,VPLJQL02P
5,2025-11-23 15:27:17 UTC,00QPU9UGQGRR,VPLJQL02P,VPLVVJLJ9,VPLJQL02P
6,2025-11-23 15:23:56 UTC,029PUQJ9U88Y,VPLJQL02P,VLGUUGR99,VPLJQL02P
7,2025-11-23 15:18:37 UTC,02PPUGLYYR9V,VPLJQL02P,VYGQ9JY9Y,VPLJQL02P
8,2025-11-23 15:13:52 UTC,02PPUGLPCCL8,VPLJQL02P,VYQY9G99G,VPLJQL02P
9,2025-11-23 15:09:34 UTC,02PPUGLPPJP9,VPLJQL02P,UUCJG2PYP,VPLJQL02P
10,2025-11-23 15:04:00 UTC,09Q9CUQPQVLG,VPLJQL02P,20V9JYQ8YC,VPLJQL02P
11,2025-11-23 14:58:40 UTC,02PPUGL90JUG,VPLJQL02P,200LYL9892,VPLJQL02P
12,2025-11-23 14:54:24 UTC,08PPJ0LUU0VG,VPLJQL02P,208P9J2CVL,VPLJQL02P
13,2025-11-23 14:49:24 UTC,00RPU8QYYPC8,VPLJQL02P,UQ2RQJ20Y,VPLJQL02P
14,2025-11-23 14:44:23 UTC,02PPUGL2YUVJ,VPLJQL02P,C8GCPVQJU,VPLJQL02P
15,2025-11-23 14:41:04 UTC,02PPUGL20RUL,VPLJQL02P,VVL200G2C,VPLJQL02P
16,2025-11-23 14:37:42 UTC,02PPUGL0RYGQ,VPLJQL02P,20Y2JPUJ88,VPLJQL02P
17,2025-11-23 14:34:51 UTC,02PPUGL0PUCL,VPLJQL02P,20YPP9JUJC,VPLJQL02P
18,2025-11-23 14:28:46 UTC,02PPUGYVRPUV,VPLJQL02P,209UVVJYQC,VPLJQL02P
19,2025-11-23 12:40:06 UTC,00QPU9CY0Q9J,VPLJQL02P,UVGQYPYQ2,VPLJQL02P
20,2025-11-23 11:56:31 UTC,02PPUGPV89LC,VPLJQL02P,VPL2GQRP9,VPLJQL02P
21,2025-11-23 11:51:05 UTC,09P9CJCCCG89,VPLJQL02P,20QRL8Q2PJ,VPLJQL02P
22,2025-11-23 10:59:19 UTC,02PPUGPGJCJP,VPLJQL02P,VLR89Y8VV,VPLJQL02P
23,2025-11-23 07:40:49 UTC,02PPUG9JP99Y,VPLJQL02P,VU88LYJYL,VPLJQL02P
24,2025-11-23 07:36:42 UTC,02PPUG9J2909,VPLJQL02P,209RGCGY2U,VPLJQL02P
25,2025-11-23 06:50:03 UTC,08YPJ0VLGY9Q,VPLJQL02P,209QU2P98R,VPLJQL02P
26,2025-11-23 06:46:53 UTC,022PV9RJG89L,VPLJQL02P,V8Y88GCVV,VPLJQL02P
27,2025-11-23 06:45:44 UTC,02PPUG9QLPQC,VPLJQL02P,VL20L2J2R,VPLJQL02P
28,2025-11-22 18:52:03 UTC,02PPUQV0PCPY,VPLJQL02P,208PVCYUY9,VPLJQL02P
29,2025-11-22 18:48:49 UTC,0929V02020C0,VPLJQL02P,VQ0Y09LRV,VPLJQL02P
0,2025-11-26 14:19:10 UTC,08U9V80920QV,"CLGJ0CYUY,20LRVGLJ28","V0PJCLG9Y,UJ9YJRUC9",20LRVGLJ28
1,2025-11-26 14:15:54 UTC,08U9V808JYUV,"CLGJ0CYUY,20LRVGLJ28","CQ280YJQV,J2RVJRGU8",20LRVGLJ28
2,2025-11-26 14:12:42 UTC,08V9V2J8990Q,"20LRVGLJ28,CLGJ0CYUY","V0UVYLCJJ,208CYVUGRL",20LRVGLJ28
3,2025-11-26 14:09:20 UTC,00VPUPVQ2UPP,"CLGJ0CYUY,20LRVGLJ28","2028JJ8VJ,CJPPG09VC",20LRVGLJ28
4,2025-11-26 14:06:16 UTC,08U9V802JVR0,"CLGJ0CYUY,20LRVGLJ28","QUVL0R9VR,20LRJURJY8",20LRVGLJ28
5,2025-11-26 11:26:35 UTC,00YPUP9YVVYG,"20LRVGLJ28,CLGJ0CYUY","JU8PQGGVJ,2V0LL9UJ2",20LRVGLJ28
6,2025-11-26 11:23:19 UTC,08U9V2V2GR9U,"CLGJ0CYUY,20LRVGLJ28","8VURQQL8,UJJJPQPQJ",20LRVGLJ28
7,2025-11-26 11:19:57 UTC,08V9V2R289VL,"20LRVGLJ28,CLGJ0CYUY","208L8VRRVL,VV20PUC2C",20LRVGLJ28
8,2025-11-26 11:16:18 UTC,09Q9U09CPY8V,"20LRVGLJ28,CLGJ0CYUY","UJGPVRYGJ,9UL8LQYUV",20LRVGLJ28
9,2025-11-26 10:04:50 UTC,08V9V2GJ20QJ,"20LRVGLJ28,CLGJ0CYUY","UVCQ2JYCY,URVLJ8JLR",20LRVGLJ28
10,2025-11-26 10:00:31 UTC,08U9V2UJ089Q,"CLGJ0CYUY,20LRVGLJ28","RCYVCU0UV,J9V229P9U",20LRVGLJ28
11,2025-11-26 09:56:52 UTC,08U9V2URJV29,20LRVGLJ28,JJUPQ02GC,20LRVGLJ28
12,2025-11-26 09:53:19 UTC,02PPUJ8V0C90,20LRVGLJ28,UURL8G9QP,20LRVGLJ28
13,2025-11-26 09:50:36 UTC,08U9V2URYG98,20LRVGLJ28,Y2QQVQ8LV,20LRVGLJ28
14,2025-11-26 05:58:40 UTC,08U9V2CC8YLY,20LRVGLJ28,VYRUU9JPP,20LRVGLJ28
15,2025-11-26 05:55:23 UTC,08U9V2CJVR2Q,20LRVGLJ28,V00C0R2P0,20LRVGLJ28
16,2025-11-26 05:52:07 UTC,02YPURVU2GVQ,20LRVGLJ28,JJ2P8V22R,20LRVGLJ28
17,2025-11-26 05:46:33 UTC,02QPCLLCUR02,20LRVGLJ28,20Y0R2PGV,20LRVGLJ28
18,2025-11-25 19:06:54 UTC,02LPCYRLJGQR,"20LRVGLJ28,CLGJ0CYUY","URPLRUCV2,V2LC988YL",20LRVGLJ28
19,2025-11-25 19:01:04 UTC,09J9YPL0GY2Q,"CLGJ0CYUY,20LRVGLJ28","U09YRCC2P,20P8G0GLLG",20LRVGLJ28
