menu_index,timestamp_utc,replay_id,team_id,opponent_id,player_id
0,2025-11-20 19:31:10 UTC,02VPJ8GR929Q,YUGQJ0LVV,V0VGQJLJG,YUGQJ0LVV
1,2025-11-20 18:13:36 UTC,02VPJ8G09Y0Q,YUGQJ0LVV,V0VGQJLJG,YUGQJ0LVV
0,2025-11-28 09:18:53 UTC,002Y0YRJ2RR9,V0VGQJLJG,9UV9U20U2,V0VGQJLJG
1,2025-11-27 19:40:56 UTC,00UPUYC28PPP,V0VGQJLJG,QUUP2YLPJ,V0VGQJLJG
2,2025-11-27 19:38:05 UTC,00UPUYC0CR2L,V0VGQJLJG,QUUP2YLPJ,V0VGQJLJG
3,2025-11-27 19:33:10 UTC,00UPUYC09GPL,V0VGQJLJG,QUUP2YLPJ,V0VGQJLJG
4,2025-11-27 19:29:52 UTC,00UPUYJVU8PP,V0VGQJLJG,QUUP2YLPJ,V0VGQJLJG
5,2025-11-27 19:14:21 UTC,00UPUYJU0QQ0,V0VGQJLJG,VYJL0QPUQ,V0VGQJLJG
6,2025-11-27 19:10:39 UTC,00QPULQRY0LQ,V0VGQJLJG,UVQ9QQCPC,V0VGQJLJG
7,2025-11-27 19:06:19 UTC,08YPJ9CG99YL,V0VGQJLJG,200JRJ89Q9,V0VGQJLJG
8,2025-11-27 16:13:07 UTC,00UPUYRPGRCG,V0VGQJLJG,VP2QG2GL0,V0VGQJLJG
9,2025-11-27 16:09:36 UTC,00UPUYRP90YG,V0VGQJLJG,VYRVL0Q8V,V0VGQJLJG
10,2025-11-26 15:59:19 UTC,00UPUY0YPC2U,V0VGQJLJG,UGG9V082Q,V0VGQJLJG
11,2025-11-26 15:55:58 UTC,000Y08CC2G2V,V0VGQJLJG,UJVRPCQLG,V0VGQJLJG
12,2025-11-26 07:13:02 UTC,09L9U0RC2YQL,V0VGQJLJG,20LV2YP8LP,V0VGQJLJG
13,2025-11-26 07:08:30 UTC,00UPUPCL80RV,V0VGQJLJG,VYJ8PR9Y8,V0VGQJLJG
14,2025-11-26 07:05:12 UTC,088PJ8Y2CUVQ,V0VGQJLJG,208QJ99RQ0,V0VGQJLJG
15,2025-11-26 07:01:40 UTC,00UPUPCYJ9VC,V0VGQJLJG,VYJ0P8GPP,V0VGQJLJG
16,2025-11-25 08:19:43 UTC,00UPUP8GY9UC,V0VGQJLJG,VYJ09VQ8J,V0VGQJLJG
17,2025-11-25 08:06:50 UTC,00UPUP8QQVUQ,V0VGQJLJG,VYRULCGLV,V0VGQJLJG
18,2025-11-24 16:54:12 UTC,00UPU9JJ2009,V0VGQJLJG,VYRCPL2LL,V0VGQJLJG
19,2025-11-24 16:49:47 UTC,00UPU9JRQUC2,V0VGQJLJG,VYJ0JYCQL,V0VGQJLJG
0,2025-11-22 05:40:11 UTC,00UPU88VUQQU,V0VGQJLJG,U98PV980P,V0VGQJLJG
3,2025-11-15 16:54:31 UTC,00UPCCVGLJJJ,V0VGQJLJG,20R8YQ2QPU,V0VGQJLJG
4,2025-11-15 09:23:18 UTC,08RPQPV2YU99,"PYRPCU99J,V0VGQJLJG","202QCLRPQU,VVUU9LPJR",V0VGQJLJG
6,2025-11-12 06:43:28 UTC,00UPCRC2RRP8,"CPJV280UY,V0VGQJLJG","20J8PYYJC0,VC2JUJGJ9",V0VGQJLJG
0,2025-11-18 19:26:08 UTC,02GPC929CRR2,VLURQGR8L,VPQUC99CR,VLURQGR8L
1,2025-11-18 10:37:41 UTC,02GPC8CY8R0U,VLURQGR8L,VVPPP988V,VLURQGR8L
2,2025-11-18 10:33:53 UTC,02GPC8CPV28J,VLURQGR8L,VV9VGC2YJ,VLURQGR8L
3,2025-11-18 10:31:06 UTC,02GPC8CPJQ0Q,VLURQGR8L,VVP2QYVVR,VLURQGR8L
4,2025-11-18 10:25:23 UTC,02GPC8CPY29P,VLURQGR8L,VL9YULCGU,VLURQGR8L
5,2025-11-18 10:18:41 UTC,02GPC8C9UUG9,VLURQGR8L,VVP82V98U,VLURQGR8L
