timestamp,worker_tags_count,meta_tags_count,shared_tags_count
2026-02-21 03:32:44,45590,54149,21932
2026-02-21 03:34:40,45595,54149,21932
2026-02-21 03:50:09,45713,54149,21932
2026-02-21 03:55:41,45764,38,29
2026-02-21 03:56:39,45787,62,52
2026-02-21 11:43:39,47896,2362,2180
2026-02-21 11:48:14,47896,2362,2180
2026-02-21 13:20:30,50162,4810,4457
