,card_name,image_src,side,time,isAbility
42,firecracker,"https://cdns3.royaleapi.com/cdn-cgi/image/q=80,w=75,h=90,format=auto/static/img/cards/v8-7d088998/firecracker.png",blue,2834,0
43,_invalid,https://cdn.royaleapi.com/static/img/ability/ability-75/ability-monk.png?t=1a4e15b1c,red,2879,1
44,skeletons,"https://cdns3.royaleapi.com/cdn-cgi/image/q=80,w=75,h=90,format=auto/static/img/cards/v8-7d088998/skeletons.png",blue,2895,0
45,electro-spirit,"https://cdns3.royaleapi.com/cdn-cgi/image/q=80,w=75,h=90,format=auto/static/img/cards/v8-7d088998/electro-spirit.png",red,2959,0
46,cannon,"https://cdns3.royaleapi.com/cdn-cgi/image/q=80,w=75,h=90,format=auto/static/img/cards/v8-7d088998/cannon.png",blue,2963,0
47,electro-spirit,"https://cdns3.royaleapi.com/cdn-cgi/image/q=80,w=75,h=90,format=auto/static/img/cards/v8-7d088998/electro-spirit.png",blue,2999,0
48,royal-giant,"https://cdns3.royaleapi.com/cdn-cgi/image/q=80,w=75,h=90,format=auto/static/img/cards/v8-7d088998/royal-giant.png",red,3045,0
49,mighty-miner,"https://cdns3.royaleapi.com/cdn-cgi/image/q=80,w=75,h=90,format=auto/static/img/cards/v8-7d088998/mighty-miner.png",blue,3084,0
50,barbarian-barrel,"https://cdns3.royaleapi.com/cdn-cgi/image/q=80,w=75,h=90,format=auto/static/img/cards/v8-7d088998/barbarian-barrel.png",blue,3099,0
51,barbarian-barrel,"https://cdns3.royaleapi.com/cdn-cgi/image/q=80,w=75,h=90,format=auto/static/img/cards/v8-7d088998/barbarian-barrel.png",red,3143,0
52,skeletons,"https://cdns3.royaleapi.com/cdn-cgi/image/q=80,w=75,h=90,format=auto/static/img/cards/v8-7d088998/skeletons.png",blue,3185,0
53,cannon,"https://cdns3.royaleapi.com/cdn-cgi/image/q=80,w=75,h=90,format=auto/static/img/cards/v8-7d088998/cannon.png",blue,3253,0
54,hunter,"https://cdns3.royaleapi.com/cdn-cgi/image/q=80,w=75,h=90,format=auto/static/img/cards/v8-7d088998/hunter.png",red,3335,0
55,firecracker,"https://cdns3.royaleapi.com/cdn-cgi/image/q=80,w=75,h=90,format=auto/static/img/cards/v8-7d088998/firecracker.png",blue,3372,0
56,monk,"https://cdns3.royaleapi.com/cdn-cgi/image/q=80,w=75,h=90,format=auto/static/img/cards/v8-7d088998/monk.png",red,3394,0
57,earthquake,"https://cdns3.royaleapi.com/cdn-cgi/image/q=80,w=75,h=90,format=auto/static/img/cards/v8-7d088998/earthquake.png",blue,3424,0
58,_invalid,https://cdn.royaleapi.com/static/img/ability/ability-75/ability-monk.png?t=1a4e15b1c,red,3466,1
59,electro-spirit,"https://cdns3.royaleapi.com/cdn-cgi/image/q=80,w=75,h=90,format=auto/static/img/cards/v8-7d088998/electro-spirit.png",blue,3471,0
60,royal-ghost,"https://cdns3.royaleapi.com/cdn-cgi/image/q=80,w=75,h=90,format=auto/static/img/cards/v8-7d088998/royal-ghost.png",red,3609,0
