entity_type,player_tag,clan_tag,country,error
player,#V9P99JYVU,#RJ08PLC8,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#2VVR8CJ,#RJ08PLC8,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#VY228GYUJ,#RJ08PLC8,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#20PQ9G9CUR,#RJ0V0U9J,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#VYL889V2J,#RJ0V0U9J,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#U9GURUUUV,#RJ0V0U9J,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#VUGLJUC9Q,#RJ0V0U9J,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#CGCGY8UGP,#G2QQ8PVU,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#VJR9GRLUP,#G2QQ8PVU,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#C9Y90PQJU,#G2QQ8PVU,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#V009U8JJ2,#G2QQ8PVU,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#P98CVYJG2,#R0Q9UURP,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#UCY0G9VUJ,#R0Q9UURP,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#JV9Y22L0C,#R0Q9UURP,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#CR29U8PQU,#R0Q9UURP,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#UV2JQ9R20,#R0Q9UURP,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#RPUU8RQJG,#G8QRCLLY,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#8L8RUCV2R,#R0Q9UURP,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#VP9VQY9C8,#R0VUCQP9,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#U9YUJCPPQ,#R0Q9UURP,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#V0Y0URPRQ,#G8QRCLLY,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#200V0RRQR2,#GYQ0G8QY,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#YC98GV2J2,#2Q29CGU8,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#RCRY2Y0Q2,#2Q29CGU8,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#20YY2PPUPQ,#GYQ0G8QY,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#20JG0RVP9J,#GYQ0G8QY,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#8Q8LQCGGC,#GCP008LG,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#90L88UUY,#GCP008LG,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#YJLL9GUPC,#GY8URY02,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#C2RLG2V0J,#GY8URY02,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#9UJVYLVJ,#GY8URY02,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
